nombre,precio,categoria
Crema Antimanchas De Dia Nivea Cellular Luminous 40 Ml,"RD$1,219.96",Supermercado
Gel De Baño Oliva Y Aloe Palmolive 390 Ml,RD$278.95,Supermercado
Crema Ultra Humectante Jergens 18.5 Onz,RD$334.95,Supermercado
Tostitos Restaurant Style Familiar 283.5 Onz,RD$274.95,Supermercado
Esmalte Revlon Super Lustrous Red Affair,RD$389.95,Supermercado
Endurecedor De Uñas Con Ajo Y Limón Vogue,RD$118.96,Supermercado
Salchicha Para Hot Dog Emilio's 8 Und/Paq,RD$194.95,Supermercado
Cerveza Pequeña The One 12 Onz,RD$98.96,Supermercado
Licuadora Frigidaire 1.5LTS FBS30,"RD$4,395.00",Supermercado
Toalla Beige,RD$475.00,Supermercado
Limpiador Facial En Espuma Cerave 8 Oz,RD$994.99,Supermercado
Cerveza Presidente Regular Lata 8 Onz,RD$79.96,Supermercado
Set de Cocina 4 PZS Black & Decker CBBD1747,"RD$12,995.00",Supermercado
Nevera 10 Pc Whirlpool WRW27CKTWW,"RD$35,995.00",Supermercado
"Estufa Conex 30"" Negra AMG5G027","RD$22,895.00",Supermercado
Lavadora Semi-Automática 22KG Cetron  LTDR2224HBAB0,"RD$23,995.00",Supermercado
"Televisor Samsung Smart TV UHD 50"" UN50DU7000PXPA","RD$51,995.00",Supermercado
Jamón De Pavo Rebanado Checo 3/4 lB,RD$324.95,Supermercado
"Televisor Smart FHD Aiwa 43"" AW43B4SFG","RD$19,995.00",Supermercado
Crema Antimanchas De Dia Nivea Cellular Luminous 40 Ml,"RD$1,219.96",Supermercado > Supermercado
Gel De Baño Oliva Y Aloe Palmolive 390 Ml,RD$278.95,Supermercado > Supermercado
Crema Ultra Humectante Jergens 18.5 Onz,RD$334.95,Supermercado > Supermercado
Tostitos Restaurant Style Familiar 283.5 Onz,RD$274.95,Supermercado > Supermercado
Esmalte Revlon Super Lustrous Red Affair,RD$389.95,Supermercado > Supermercado
Endurecedor De Uñas Con Ajo Y Limón Vogue,RD$118.96,Supermercado > Supermercado
Salchicha Para Hot Dog Emilio's 8 Und/Paq,RD$194.95,Supermercado > Supermercado
Cerveza Pequeña The One 12 Onz,RD$98.96,Supermercado > Supermercado
Licuadora Frigidaire 1.5LTS FBS30,"RD$4,395.00",Supermercado > Supermercado
Toalla Beige,RD$475.00,Supermercado > Supermercado
Limpiador Facial En Espuma Cerave 8 Oz,RD$994.99,Supermercado > Supermercado
Cerveza Presidente Regular Lata 8 Onz,RD$79.96,Supermercado > Supermercado
Set de Cocina 4 PZS Black & Decker CBBD1747,"RD$12,995.00",Supermercado > Supermercado
Nevera 10 Pc Whirlpool WRW27CKTWW,"RD$35,995.00",Supermercado > Supermercado
"Estufa Conex 30"" Negra AMG5G027","RD$22,895.00",Supermercado > Supermercado
Lavadora Semi-Automática 22KG Cetron  LTDR2224HBAB0,"RD$23,995.00",Supermercado > Supermercado
"Televisor Samsung Smart TV UHD 50"" UN50DU7000PXPA","RD$51,995.00",Supermercado > Supermercado
Jamón De Pavo Rebanado Checo 3/4 lB,RD$324.95,Supermercado > Supermercado
"Televisor Smart FHD Aiwa 43"" AW43B4SFG","RD$19,995.00",Supermercado > Supermercado
Uvas Verdes Timpson  Lb (Peso Aprox. 1 Libra),RD$229.95,Supermercado > Frutas y verduras Frescas
AGREGAR A LISTA,Precio no disponible,Supermercado > Frutas y verduras Frescas
Vasos De Papel Lider 8 Onz.,RD$139.95,Supermercado > Frutas y verduras Frescas
Higos Secos Líder 12 Onz,RD$129.95,Supermercado > Frutas y verduras Frescas
Dátiles Sin Semillas Líder 12 Onz,RD$139.95,Supermercado > Frutas y verduras Frescas
"Peras Asiaticas, Lb",RD$449.00,Supermercado > Frutas y verduras Frescas
"Manzana Pink Landy, Lb",RD$88.95,Supermercado > Frutas y verduras Frescas
Cranberries Líder 10 Oz,RD$139.95,Supermercado > Frutas y verduras Frescas
"Sandía Roja Sin Semilla, Lb",RD$29.95,Supermercado > Frutas y verduras Frescas
Melón Amarillo Honeydew Und,RD$78.95,Supermercado > Frutas y verduras Frescas
